architecture,epochs,learning_rate,activation,step_train,n_train,batch_size,train_time_s,eval_loss,eval_accuracy
"[8, 8]",500,0.01,sigmoid,0.1,441,441,0.1609041000047,1.0903198338350635,0.37814357567443985
"[8, 8]",500,0.05,sigmoid,0.1,441,441,0.16405690000101458,1.0186597728712998,0.6168267032464564
"[8, 8]",500,0.1,sigmoid,0.1,441,441,0.16380970000318484,0.7663842091817895,0.7767108672458467
"[8, 8]",500,0.3,sigmoid,0.1,441,441,0.16385569999692962,0.15530883814243332,0.970126505105929
"[8, 8]",500,0.5,sigmoid,0.1,441,441,0.16628969999874244,0.10237046017796346,0.9724127419600671
"[8, 8]",500,1.0,sigmoid,0.1,441,441,0.16095779999886872,0.07215864274021147,0.9727175735406188
