mode,architecture,epochs,learning_rate,activation,step_train,n_train,batch_size,train_time_s,eval_loss,eval_accuracy
full-batch,"[5, 5]",200,0.5,sigmoid,0.1,441,441,0.054100800000014715,0.3000405194712607,0.9763755525072397
mini-batch (64),"[5, 5]",200,0.5,sigmoid,0.1,441,64,0.14008219999959692,0.06132023181332415,0.9762231367169639
