activation,architecture,epochs,learning_rate,step_train,n_train,batch_size,train_time_s,eval_loss,eval_accuracy
sigmoid,"[8, 8]",300,0.5,0.1,441,441,0.09701640000275802,0.15537877531268343,0.970126505105929
relu,"[8, 8]",300,0.1,0.1,441,441,0.06370020000031218,0.08557057609598266,0.9710409998475842
