architecture,epochs,learning_rate,activation,step_train,n_train,batch_size,train_time_s,eval_loss,eval_accuracy
"[8, 8]",100,0.5,sigmoid,0.1,441,441,0.03361369999765884,0.7704415306086391,0.7750342935528121
"[8, 8]",300,0.5,sigmoid,0.1,441,441,0.09463790000154404,0.15537877531268343,0.970126505105929
"[8, 8]",500,0.5,sigmoid,0.1,441,441,0.16573860000062268,0.10237046017796346,0.9724127419600671
"[8, 8]",1000,0.5,sigmoid,0.1,441,441,0.3220355000012205,0.07215493139178054,0.9727175735406188
"[8, 8]",2000,0.5,sigmoid,0.1,441,441,0.6554905000011786,0.06012293684316941,0.9711934156378601
