architecture,epochs,learning_rate,activation,step_train,n_train,batch_size,train_time_s,eval_loss,eval_accuracy
[3],300,0.1,relu,0.1,441,441,0.048434000003908295,0.1696779435780725,0.9606767261088248
[5],300,0.1,relu,0.1,441,441,0.048643099995388184,0.1829989959152102,0.9585429050449626
"[3, 3]",300,0.1,relu,0.1,441,441,0.05541429999721004,0.12115144892482371,0.9751562261850327
"[5, 5]",300,0.1,relu,0.1,441,441,0.05962839999847347,0.08390346588207288,0.9713458314281359
"[8, 8]",300,0.1,relu,0.1,441,441,0.06139909999910742,0.08557057609598266,0.9710409998475842
"[8, 8, 8]",300,0.1,relu,0.1,441,441,0.07651690000056988,0.07207475394116014,0.9699740893156531
"[12, 8, 4]",300,0.1,relu,0.1,441,441,0.07616850000340492,0.09967500637905558,0.9768327998780674
