architecture,epochs,learning_rate,activation,step_train,n_train,batch_size,train_time_s,eval_loss,eval_accuracy
[3],500,0.5,sigmoid,0.1,441,441,0.09425439999904484,0.15354186047410773,0.965249199817101
[5],500,0.5,sigmoid,0.1,441,441,0.10686770000029355,0.12571576633661638,0.9730224051211706
"[3, 3]",500,0.5,sigmoid,0.1,441,441,0.1261344000013196,0.14978864770178527,0.9588477366255144
"[5, 5]",500,0.5,sigmoid,0.1,441,441,0.14267259999905946,0.10866795489578805,0.974851394604481
"[8, 8]",500,0.5,sigmoid,0.1,441,441,0.16385839999566087,0.10237046017796346,0.9724127419600671
"[8, 8, 8]",500,0.5,sigmoid,0.1,441,441,0.21193630000198027,0.38026126151218903,0.9151044048163389
"[12, 8, 4]",500,0.5,sigmoid,0.1,441,441,0.20770760000596056,0.5695213633039883,0.6495960981557689
